Planet Name,Temp,BH
Kepler-305 d,574.5888941913845,0.24971830078029522
Kepler-307 b,698.1311867235428,0.3641140430710597
Kepler-307 c,647.0207600274839,0.304590506780287
Kepler-36 c,946.2317423639225,0.34578292931354676
Kepler-454 b,839.0134469985376,0.4559604024260612
Kepler-48 b,930.5708465490327,0.4648079220026099
Kepler-48 d,447.7218758492151,0.2336176511255625
Kepler-49 b,583.2154383713925,0.23253919167536424
Kepler-49 c,507.79520306792375,0.22520014199757105
Kepler-57 c,671.623018395416,0.32375121136760954
Kepler-60 d,914.1796773677027,0.46040080803366473
Kepler-79 c,718.553781094241,0.34026865670879675
Kepler-79 e,500.13405791641117,0.247048829444081
Kepler-80 b,647.72574901053,0.3001906802169726
Kepler-80 c,585.8899845054118,0.2500530999395301
Kepler-80 d,854.8840117569546,0.5069905434095179
Kepler-80 e,744.1113325853721,0.4281234984352677
Kepler-81 c,514.2074467484541,0.23643123552220865
Kepler-83 b,520.6348493562614,0.24678226240454254
Kepler-83 c,409.4289060348501,0.30844052467115374
Kepler-85 b,808.8802729169331,0.4529204861910999
Kepler-85 c,705.5736340537519,0.37909432749585426
Kepler-92 c,775.0651213345892,0.44795876645141325
Kepler-96 b,713.7773688461555,0.3862529179988326
L 168-9 b,913.1710345691097,0.4833459519683198
L 98-59 d,380.6579289272226,0.3284881068935098
LHS 1140 b,206.29545979302452,0.5278718718135266
LTT 3780 c,331.84288879236016,0.3719826052437478
Ross 176 b,624.1571621828871,0.25914320096822935
TOI-1064 c,579.3909550668909,0.25545684342239805
TOI-1136 c,968.0736471778304,0.40636752388343206
TOI-1136 e,669.2023216780261,0.32517844820862846
TOI-1136 f,600.2702678051772,0.2706978736470141
TOI-1136 g,523.2433477775272,0.2350394667988961
TOI-1184 b,701.8031964389407,0.36563704601198416
TOI-1201 b,645.0281088097277,0.2962363463318803
TOI-1203 d,680.1264115355455,0.34576556226618776
TOI-1244 b,699.1431819950341,0.3664038341786656
TOI-125 b,948.8580954147799,0.45022707157956443
TOI-125 c,757.3651565115961,0.4311719317347005
TOI-1260 b,797.7959315744145,0.4774591642754806
TOI-1266 b,378.38611098088614,0.3273651217957047
TOI-1266 c,315.5018915614036,0.4098888251907327
TOI-1422 b,794.9064396922664,0.40803882569229477
TOI-1437 b,766.0670837780044,0.4575878098635705
TOI-1438 b,888.288448402286,0.4404821300384704
TOI-1452 b,298.2763576302287,0.42330020621982833
TOI-1468 c,309.3002161642257,0.4167402510902131
