Planet Name,Tsm,Temp,A/H,Feature Height (ppm),scale height (m)
Kepler-85 b,7.921658749771642,808.8802729169331,14.806882707023592,217.06494013534615,239515.20188037728
Kepler-85 c,8.142114109571002,705.5736340537519,13.839235048175556,208.5255075481521,221288.88836105008
Kepler-92 c,6.902415599439706,775.0651213345892,10.51707879003733,36.91527850078089,148032.88510267963
Kepler-96 b,27.346162907609084,713.7773688461555,10.180193682290964,71.37766788131185,103661.64170934733
L 168-9 b,86.61980450984929,913.1710345691097,10.250158379384985,124.01028110359192,102739.17543106696
L 98-59 d,327.8124994124873,380.6579289272226,13.58244495060432,619.6028110359189,105893.49614237437
LHS 1140 b,61.64601573983464,206.29545979302452,12.307803751631672,228.7682196772528,19001.898682246872
LTT 3780 c,77.67361558813423,331.84288879236016,12.124192397514577,214.89992191566853,40632.67527174242
Ross 176 b,46.92207827675226,624.1571621828871,11.014169790199446,131.4737116085374,79692.33523415268
TOI-1064 c,156.44373983611987,579.3909550668909,14.25293600884099,530.3620510150962,280707.68769743276
TOI-1136 c,106.11470457862127,968.0736471778304,10.340579287262836,183.22761582509133,218815.3568474925
TOI-1136 e,57.90375778481204,669.2023216780261,10.86280623049849,106.69859448204076,132327.6735426948
TOI-1136 f,93.67533401864435,600.2702678051772,10.78375854068629,168.68089536699674,148857.9996078434
TOI-1136 g,43.2411347841155,523.2433477775272,11.523173342694369,84.52381572097848,103076.55135299383
TOI-1184 b,59.61732639363281,701.8031964389407,10.410015963771887,139.93740239458612,101602.73062031672
TOI-1201 b,87.78362736670196,645.0281088097277,10.777591386241815,274.4385736595523,103242.00161269678
TOI-1203 d,69.37187357995455,680.1264115355455,10.6118381716213,79.29476834981763,135057.56823942618
TOI-1244 b,37.241713554823015,699.1431819950341,10.502438870526733,145.95861530452896,111112.68417794764
TOI-125 b,45.33504561550422,948.8580954147799,9.287101135185651,118.69273815720972,127918.25130612697
TOI-125 c,54.60911761498708,757.3651565115961,10.479212711416062,158.80504945340962,149864.3527712925
TOI-1260 b,41.831282456874405,797.7959315744145,9.736619723192238,127.76717855283721,93294.33783169172
TOI-1266 b,109.36571020101765,378.38611098088614,12.459714505755999,429.04138469547104,92854.84268261874
TOI-1266 c,62.23253656964601,315.5018915614036,12.873319123402819,252.24232170744384,67247.51407839877
TOI-1422 b,70.15365999007705,794.9064396922664,10.134206367412174,208.40616866215515,211540.29555973006
TOI-1437 b,19.11342187110846,766.0670837780044,9.685724900218327,28.825741801145313,69007.25537241802
TOI-1438 b,61.210957991255945,888.288448402286,9.58451391646302,171.8975793857363,150513.85422197115
TOI-1452 b,36.49100039460706,298.2763576302287,12.263927349907467,213.0714471629369,29815.870119919553
TOI-1468 c,89.6133873262774,309.3002161642257,12.677648518205816,302.6366475793862,58765.98717871228
TOI-1470 b,50.12011388602954,663.6342468665418,10.399596567498296,201.71512233211806,74256.39216956822
TOI-1470 c,38.21865862207888,344.1107871733754,12.153590756143982,179.75871941697037,49975.45723592563
TOI-1634 b,48.018162988576016,826.4749531597515,9.545772638189112,130.29463820926622,59149.95752439192
TOI-1648 b,53.91162411072155,730.8234562128679,10.247557102486716,114.8187142113482,109812.38909061329
TOI-1695 b,38.56243086586808,637.6826905626073,10.562454954989196,124.40538781884428,62381.79449364115
TOI-1742 b,27.608163562024824,695.0701310144931,10.022063933232747,33.73685580426852,69079.6670124468
TOI-1758 b,100.33097527167973,545.6554296510881,11.572659368685478,300.5652004164502,178603.38279255634
TOI-178 c,35.953641733192114,805.2255259396612,10.311243164317677,100.0838105153567,92015.68850923036
TOI-178 d,91.99941664807046,636.586673019081,11.336111646805689,281.55231650182196,153240.96798988234
TOI-178 e,74.39824535118571,553.5253493881711,12.241853135988407,245.87805830296676,145142.51927739047
TOI-178 f,46.268641104179785,480.5190634891546,11.66803045053409,145.74518479958348,85932.74338987538
TOI-178 g,97.61203700185746,433.7737863703845,12.51271114803232,324.5826392503904,146761.77237376227
TOI-1794 b,45.968073781588735,995.0559694080519,9.688758046788646,104.1345653305573,214275.56082106422
TOI-1798.01,37.69150802126827,734.752868454081,10.40462439668859,128.81897449245184,116749.19893686096
TOI-1799 b,39.49183769146575,911.8033990403044,10.312903251873967,51.61764705882357,105923.09691878452
TOI-1801 b,56.53202224527324,460.1460567286586,11.609714344492609,127.00650702758988,59737.53366187229
TOI-2015 b,136.6229168997521,485.8510214454358,11.362019276121433,921.8273034877662,99657.95610766084
TOI-2136 b,59.445921614795935,360.0115558965495,12.048686460982895,281.04229567933305,46716.294489179854
TOI-2345 c,29.97160878936892,497.8506103143316,11.30949407480099,97.46824570536205,70901.33365829686
TOI-244 b,65.27215941131195,418.00421788854214,12.299702954072568,168.6290994273819,62106.37693330846
TOI-2443 b,145.33419406171032,473.0489169237217,11.903090008639152,176.57834461218073,94840.84335716147
TOI-260 b,60.976341191679815,450.52638947074905,11.785519762982966,77.37844872462259,53675.39350439736
TOI-269 b,67.5992957111911,526.4313090784765,11.065532580891842,403.44560124934947,79108.24056178816
TOI-270 c,120.79079113650162,448.0788038258526,11.684360681388327,336.0072878709004,67620.39474386048
