pl_name,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,pl_radelim,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_bmasselim,pl_bmasseerr2,pl_bmasseerr1,pl_orbeccen,pl_orbincl,st_rad,st_mass,st_teff,pl_ratror,st_met,st_metlim,sy_jmag,pl_controv_flag,st_logg,st_tefferr1,st_tefferr2,st_raderr1,st_raderr2,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_jmagerr1,sy_jmagerr2,pl_bmasseerr_avg,pl_radeerr_avg,st_tefferr_avg,st_raderr_avg,pl_orbsmaxerr_avg,sy_jmagerr_avg,g_planet_cgs,g_planet_cgs_err,pl_Teq,pl_Teq_err,pl_tsm,pl_tsm_err
HD 20329 b,0.926118,0.018,7.42,1.72,0.0,0.07,-0.07,0.0221,1.26,0.0,-1.09,1.09,0.0,76.01,1.13,0.9,5596.0,0.0139,-0.07,0.0,7.492,0.0,4.4,50.0,-50.0,0.02,-0.02,0.0003,-0.0003,0.021,-0.021,1.09,0.07,50.0,0.02,0.0003,0.021,2462.9598033594907,413.63715709909303,1955.6387771758982,29.503097900166647,42.00333108829042,8.194477239453139
HD 213885 b,1.008035,0.02012,8.83,1.745,0.0,0.051,-0.052,0.02,1.41,0.0,-0.65,0.66,0.0,80.09,1.1011,1.068,5978.0,0.01453,-0.04,0.0,6.806,0.0,4.3827,50.0,-50.0,0.008,-0.0075,0.00015,-0.00012,0.023,-0.023,0.655,0.0515,50.0,0.00775,0.000135,0.023,2847.6076667207644,269.94596917472614,1950.5777630027708,18.87092016068918,53.10138872104999,6.2256831175441185
HD 219134 b,3.092926,0.03876,4.74,1.602,0.0,0.055,-0.055,0.0358,0.945,0.0,-0.19,0.19,0.0,85.05,0.778,0.81,4699.0,0.0189,0.11,0.0,3.981,0.0,4.567,16.0,-16.0,0.005,-0.005,0.00047,-0.00047,0.258,-0.258,0.19,0.055,16.0,0.005,0.00047,0.258,1813.6923898304794,144.20310385880126,928.5628926776482,7.112997806301505,268.05991100284956,43.68266277594259
HD 219134 c,6.76458,0.0653,4.36,1.511,0.0,0.047,-0.047,0.0318,1.66,0.0,-0.22,0.22,0.062,87.28,0.778,0.81,4699.0,0.01776,0.11,0.0,3.981,0.0,4.567,16.0,-16.0,0.005,-0.005,0.0008,-0.0008,0.258,-0.258,0.22,0.047,16.0,0.005,0.0008,0.258,1875.2875619969177,150.21302584224097,715.3961817990162,5.515620072055863,188.39304808402773,30.140046861178625
HD 25463 b,7.0491423,0.076,8.7,2.54535814,0.0,0.1117151,-0.08338345,0.03005227,3.3487071,0.0,-2.6,2.7,0.0,,1.4182,1.251,6353.0,0.01645417,-0.018,0.0,5.945,0.0,4.227,85.0,-77.0,0.0241,-0.023,0.001,-0.001,0.024,-0.024,2.6500000000000004,0.09754927499999999,81.0,0.02355,0.001,0.024,1318.6567736357463,414.18165882967594,1210.4553234297825,20.06503275239735,93.01902604744572,30.498113758685246
HD 3167 b,0.959641,0.01796,4.97,1.67,0.0,0.17,-0.1,0.0294,1.609,0.0,-0.23,0.24,0.0,83.4,0.88,0.837,5261.0,0.01725,0.04,0.0,7.548,0.0,4.53,60.0,-60.0,0.012,-0.013,0.00037,-0.00031,0.032,-0.032,0.235,0.135,60.0,0.0125,0.00034,0.032,1749.9827146307393,294.78294729754447,1624.2932395296534,26.6950110951869,76.6059781481747,19.127518035189752
HD 80653 b,0.719573,0.01661,5.72,1.613,0.0,0.071,-0.071,0.01596404,1.7976,0.0,-0.35,0.36,0.0,82.1,1.22,1.18,5959.0,0.0121,0.255,0.0,8.315,0.0,4.34,61.0,-61.0,0.01,-0.01,0.00019,-0.00019,0.023,-0.023,0.355,0.071,61.0,0.01,0.00019,0.023,2158.92525424068,232.54260567398245,2252.5604239426766,27.98047733248232,30.39725779597996,4.490652360910802
HD 86226 c,3.98442,0.049,7.25,2.16,0.0,0.08,-0.08,0.0445,3.12,0.0,-1.12,1.19,0.075,86.45,1.053,1.019,5863.0,0.0188,0.018,0.0,6.839,0.0,4.4,88.0,-88.0,0.026,-0.026,0.001,-0.001,0.019,-0.019,1.155,0.08,88.0,0.026,0.001,0.019,1525.951803414973,268.0935096374831,1198.7924657308974,26.31398850245373,81.18598317459781,16.383182070965297
HR 858 b,3.585287,0.04888,3.55,2.004,0.0,0.045,-0.047,0.02137,2.705,0.0,-0.96,0.94,0.0,85.98,1.258,1.204,6354.0,0.0146,0.025,0.0,5.473,0.0,4.3,70.0,-70.0,0.019,-0.019,0.00066,-0.00066,0.027,-0.027,0.95,0.046,70.0,0.019,0.00066,0.027,868.0469814636604,235.68768240655498,1421.771804758616,21.277900402161467,206.3972748818765,57.512595644869904
K2-100 b,1.6739035,0.0301,21.8,3.88,0.0,0.16,-0.16,0.01225,1.6056,0.0,-6.2,6.2,0.0,81.27,1.24,1.15,5945.0,0.02867,0.22,0.0,9.463,0.0,4.33,110.0,-110.0,0.05,-0.05,0.0014,-0.0014,0.026,-0.026,6.2,0.16,110.0,0.05,0.0014,0.026,1422.0123066458855,421.0872231587194,1683.0127991974316,60.440301511803675,48.072056481144585,15.512206675244638
