pl_name,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,pl_radelim,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_bmasselim,pl_bmasseerr2,pl_bmasseerr1,pl_orbeccen,pl_orbincl,st_rad,st_mass,st_teff,pl_ratror,st_met,st_metlim,sy_jmag,pl_controv_flag,st_logg,st_tefferr1,st_tefferr2,st_raderr1,st_raderr2,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_jmagerr1,sy_jmagerr2,pl_bmasseerr_avg,pl_radeerr_avg,st_tefferr_avg,st_raderr_avg,pl_orbsmaxerr_avg,sy_jmagerr_avg,g_planet_cgs,g_planet_cgs_err,pl_Teq,pl_Teq_err,pl_tsm,pl_tsm_err
TOI-1468 c,15.532477,0.08608,4.1,2.126,0.0,0.092,-0.093,0.276,1.86,0.0,-1.1,1.1,0.111,89.22,0.3714,0.3527,3376.0,0.0526,-0.01,0.0,9.343,0.0,4.846,45.0,-44.0,0.01,-0.01,0.00065,-0.00065,0.021,-0.021,1.1,0.0925,44.5,0.01,0.00065,0.021,890.7742391057014,251.24425048152688,309.3002161642257,5.94341003273972,89.6133873262774,27.237286096427706
TOI-1634 b,0.9893455,0.01545,7.57,1.773,0.0,0.077,-0.077,0.1323,1.027,0.0,-0.72,0.71,0.0,86.98,0.45,0.451,3472.0,0.0356,0.19,0.0,9.484,0.0,4.787,70.0,-70.0,0.016,-0.016,0.00014,-0.00014,0.021,-0.021,0.715,0.077,70.0,0.016,0.00014,0.021,2364.7689853193933,303.44258764239595,826.4749531597515,22.528904600862443,48.018162988576016,8.561435246426335
TOI-1758 b,20.705074685,0.141409,6.9,3.62,0.0,0.337,-0.269,0.1822,3.6727,0.0,-6.3,6.2,0.0,,0.81,0.88,5169.0,0.0406,-0.02,0.0,9.315,0.0,4.53,122.0,-122.0,0.05,-0.05,0.005424,-0.005863,0.023,-0.023,6.25,0.30300000000000005,122.0,0.05,0.0056435,0.023,517.061571998339,476.2842326047678,545.6554296510881,23.833638583321772,100.33097527167973,95.22375341572915
TOI-178 d,6.557569,0.0592,5.2,2.695,0.0,0.041,-0.046,0.13964,2.346,0.0,-0.43,0.39,0.0068,88.58,0.662,0.647,4316.0,0.03737,-0.23,0.0,9.372,0.0,4.45,70.0,-70.0,0.01,-0.01,0.0018,-0.0018,0.021,-0.021,0.41000000000000003,0.0435,70.0,0.01,0.0018,0.021,703.0660340060563,59.90041632770249,636.586673019081,14.945760816752662,91.99941664807046,9.254509094843351
TOI-178 g,20.71663,0.1275,4.4,2.939,0.0,0.057,-0.055,0.16605,2.167,0.0,-0.37,0.39,0.00043,88.823,0.662,0.647,4316.0,0.04075,-0.23,0.0,9.372,0.0,4.45,70.0,-70.0,0.01,-0.01,0.0038,-0.0039,0.021,-0.021,0.38,0.056,70.0,0.01,0.00385,0.021,500.22318474269565,47.21988323995504,433.7737863703845,10.154787448740388,97.61203700185746,10.817117729960142
TOI-1794 b,8.765528,0.082,8.7,3.29701268,0.0,0.16656615,-0.13651409,0.05726987,3.9154065,0.0,-4.0,4.1,0.0,,1.3162,0.9698,5631.0,0.02296595,0.035,0.0,9.094,0.0,4.184,78.0,-74.0,0.023,-0.023,0.002,-0.002,0.026,-0.026,4.05,0.15154012,76.0,0.023,0.002,0.026,785.9380778140901,372.93290880967857,995.0559694080519,20.07997949529483,45.968073781588735,22.401671173666696
TOI-2015 b,3.348237,0.029322,9.2,3.309,0.0,0.013,-0.011,0.87,0.9876,0.0,-0.35,0.32,0.0789,87.61,0.3273,0.3041,3297.0,0.09278,-0.31,0.0,11.118,0.0,5.04,14.0,-28.0,0.0029,-0.0051,3e-06,-3e-06,0.022,-0.022,0.33499999999999996,0.012,21.0,0.004,3e-06,0.022,825.0962353491194,30.634468417644587,485.8510214454358,4.28848974299215,136.6229168997521,6.440519673134637
TOI-2136 b,7.851928,0.057,6.37,2.19,0.0,0.17,-0.17,0.38739591,1.66,0.0,-2.29,2.45,0.0,89.4,0.34,0.34,3342.0,0.0591,0.03,0.0,10.184,0.0,4.91,100.0,-100.0,0.02,-0.02,0.006,-0.006,0.024,-0.024,2.37,0.17,100.0,0.02,0.006,0.024,1304.2520115312702,525.8076532452808,360.0115558965495,24.231942168684803,59.445921614795935,27.316101051383512
TOI-2443 b,15.66858,0.105,4.8,2.363,0.0,0.066,-0.066,0.13933815,4.548,0.0,-1.1,1.1,0.301,89.72,0.631,0.642,4375.0,0.03436,-0.29,0.0,7.26,0.0,4.42,65.0,-65.0,0.014,-0.014,0.0025,-0.0025,0.021,-0.021,1.1,0.066,65.0,0.014,0.0025,0.021,844.158711541944,199.11740056562215,473.0489169237217,10.42344632392082,145.33419406171032,36.21316562600046
TOI-270 c,5.66051,0.04526,6.2,2.33,0.0,0.01,-0.01,0.38561061,1.682,0.0,-0.31,0.31,0.0044,89.36,0.38,0.386,3506.0,0.056,-0.17,0.0,9.099,0.0,4.872,70.0,-70.0,0.008,-0.008,0.00031,-0.00031,0.032,-0.032,0.31,0.01,70.0,0.008,0.00031,0.032,1121.4764545781475,56.89412371783786,448.0788038258526,10.229195450758844,120.79079113650162,8.691031361445653
TOI-270 d,11.38194,0.0721,4.2,2.0,0.0,0.05,-0.05,0.31470462,2.117,0.0,-0.16,0.16,0.0066,89.68,0.38,0.386,3506.0,0.0491,-0.17,0.0,9.099,0.0,4.872,70.0,-70.0,0.008,-0.008,0.0005,-0.0005,0.032,-0.032,0.16,0.05,70.0,0.008,0.0005,0.032,1031.097209753592,64.81368442985055,355.0128252545304,8.1068818515895,89.34866979763221,8.748747098566048
TOI-421 b,5.197576,0.0554,6.7,2.64,0.0,0.08,-0.08,0.04374376,1.09,0.0,-0.6,0.6,0.13,85.68,0.866,0.833,5291.0,0.0279,-0.044,0.0,8.547,0.0,4.48,64.0,-64.0,0.006,-0.006,0.001,-0.001,0.02,-0.02,0.6,0.08,64.0,0.006,0.001,0.02,944.0114490889778,102.07858210967979,922.6772025132932,14.287194685748435,83.12306128607035,10.774197412380111
TOI-431 d,12.46103,0.098,9.9,3.29,0.0,0.09,-0.09,0.20781426,3.3195777,0.0,-1.49,1.53,0.0,89.7,0.731,0.78,4850.0,0.041,0.2,0.0,7.305,0.0,4.6,75.0,-75.0,0.022,-0.022,0.002,-0.002,0.026,-0.026,1.51,0.09,75.0,0.022,0.002,0.026,898.1600033224416,145.53871028328558,584.2454707109282,13.944933480286126,174.14983577432912,32.26945265241776
TOI-4438 b,7.44628,0.0534,5.4,2.52,0.0,0.13,-0.13,0.40457242,2.021,0.0,-1.1,1.1,0.14,89.34,0.372,0.368,3422.0,0.062,-0.19,0.0,9.695,0.0,4.68,81.0,-81.0,0.018,-0.018,0.0037,-0.0037,0.021,-0.021,1.1,0.13,81.0,0.018,0.0037,0.021,835.0317539306707,190.6730560409471,398.37200521627,19.29467562934845,123.7033154366538,34.38219002725376
TOI-544 b,1.548352,0.0225,2.89,2.018,0.0,0.076,-0.076,0.09264111,1.21,0.0,-0.48,0.48,0.0,,0.623,0.631,4169.0,0.0297,-0.17,0.0,8.592,0.0,4.68,70.0,-70.0,0.012,-0.012,0.0002,-0.0002,0.026,-0.026,0.48,0.076,70.0,0.012,0.0002,0.026,696.8925655667219,127.09321165433157,967.5927919273252,19.21664400692021,170.82550732172933,35.16388404087042
TOI-561 c,10.778838,0.0889,5.93,2.865,0.0,0.041,-0.041,0.113,3.739,0.0,-0.67,0.67,0.023,89.61,0.843,0.806,5342.0,0.03115,-0.41,0.0,8.879,0.0,4.47,57.0,-54.0,0.005,-0.005,0.0013,-0.0013,0.02,-0.02,0.67,0.041,55.5,0.005,0.0013,0.02,709.4401337379564,82.68782246371772,725.5623780453545,9.465545095374008,86.8457882742011,10.637974991434803
TOI-756 b,1.2392495,0.018,9.83,2.81,0.0,0.1,-0.1,0.29173715,1.1,0.0,-1.6,1.8,0.0,85.53,0.505,0.505,3657.0,0.05113,0.196,0.0,11.138,0.0,4.735,72.0,-72.0,0.015,-0.015,0.0002,-0.0002,0.026,-0.026,1.7000000000000002,0.1,72.0,0.015,0.0002,0.026,1222.5065384150234,228.62515903970478,854.3628619508708,21.597961063660392,57.31060817403598,12.24057946945198
TOI-776 c,15.665323,0.1001,6.9,2.047,0.0,0.081,-0.078,0.1177,2.932,0.0,-2.5,2.6,0.089,89.49,0.547,0.542,3725.0,0.0344,-0.21,0.0,8.483,0.0,4.8,60.0,-60.0,0.017,-0.017,0.0022,-0.0024,0.018,-0.018,2.55,0.0795,60.0,0.017,0.0023,0.018,1617.051002490576,610.6627785578838,384.07042548343503,9.662281284136185,40.43069400955007,15.903125824758956
TOI-815 b,11.197259,0.0903,7.6,2.94,0.0,0.05,-0.05,0.1301,3.379,0.0,-1.4,1.5,0.2,89.36,0.77,0.776,4869.0,0.0349,-0.09,0.0,8.531,0.0,4.51,77.0,-77.0,0.009,-0.009,0.0018,-0.0019,0.024,-0.024,1.45,0.05,77.0,0.009,0.00185,0.024,863.4341945405572,167.3315612229254,627.1179431244443,12.371550522546912,89.04430432662976,17.822547713028428
TOI-969 b,1.8237305,0.02636,9.1,2.765,0.0,0.088,-0.097,0.1435,1.519,0.0,-1.0,1.0,,86.75,0.671,0.734,4435.0,,0.175,0.0,9.596,0.0,4.55,80.0,-80.0,0.015,-0.015,0.00017,-0.00017,0.026,-0.026,1.0,0.0925,80.0,0.015,0.00017,0.026,1168.8571386537956,150.38103083646016,986.9386258890199,21.183860583574,78.50532036917069,12.350886795303994
