# File_Name, Equilibrium_Temperature, Uncertainty_on_Equilibrium_Temperature, A_H, A_H_error, Number_of_transits
K2-146 b,544.625244078108,14.133711602085835,9.486376724375855,15.691225422814865,None
K2-18 b,258.59024707677503,13.542313735145688,21.326548867855752,14.475470381357042,None
K2-199 b,836.9731497369845,20.98397334334256,-46.03327421061583,51.72513255027287,None
K2-222 b,796.9010375834883,21.30502916767981,-25.879202424458217,20.465583359688818,None
K2-229 c,751.3834233335698,6.821146109523831,-9.435372277465536,26.082575996030975,None
K2-266 d,492.5680960713295,10.83786202589754,30.327148744813314,19.327634739519215,None
K2-277 b,959.0222454982054,28.55795990250857,-19.107237565516325,34.392759714363194,None
K2-285 b,996.385356653742,24.76930184484953,-6.007055236393037,20.57335315248191,None
K2-3 b,458.3817987170992,10.967730307655827,33.81619658308126,11.532022599298239,None
K2-3 c,340.0930379295686,8.128371944033121,8.625257741365417,14.864404688007086,None
K2-32 c,579.475524728098,8.209378246628223,22.743223194029813,15.445772542995677,None
K2-32 d,502.3215589512963,7.114865819785129,35.476939801549754,16.335951173096287,None
K2-36 c,781.4443296604012,7.193419725242949,7.006628382316434,10.588793285076832,None
K2-38 c,843.7421253352328,31.657928870794592,-65.61562800540939,62.75122167212469,None
K2-73 b,964.3127307539525,24.63327841878141,25.626561372216027,46.68225958373452,None
Kepler-102 e,540.4645538573974,12.92126388868945,9.32454457062695,16.057158143891222,None
Kepler-11 b,854.4932460381308,12.906441092918833,-14.946448281441912,68.69326531220214,None
Kepler-11 c,788.020365887701,11.68247524885416,14.558922226883421,22.801734194167732,None
Kepler-11 d,654.7318701859027,9.450692088742953,-47.61222944683801,55.203984121305545,None
Kepler-11 f,515.5363901210277,7.54072058527874,-47.932553410544365,36.46683114212959,None
Kepler-114 c,593.247952893981,35.30871319756513,-15.10596684884583,46.18037611467599,None
Kepler-114 d,522.4437983010259,31.09449424431948,23.437701959837653,21.28227898992579,None
Kepler-128 c,848.784297522524,15.925228815229286,-41.582279480976986,182.08694105074517,None
Kepler-138 c,410.1037820416077,7.636523422706665,-20.155867241344964,20.23348372766323,None
Kepler-138 d,345.2798479019328,6.432906333269228,42.890614098710564,34.891929348557966,None
Kepler-1655 b,857.9317668028139,14.19880414170369,15.684690862113296,43.96019089373795,None
Kepler-177 b,633.2958185996449,14.35214003026916,-7.395917632964173,63.319403257483266,None
Kepler-19 b,778.7669559520806,12.968906051215424,32.385325372514586,42.09018148689611,None
Kepler-23 d,922.7951951195258,21.64334399426231,-59.52062772938093,130.58876188730258,None
Kepler-24 c,855.620998144413,22.87087578400746,112.03996206491881,213.32523390387905,None
Kepler-26 b,422.430545103582,17.560439986569506,14.585309617822888,23.832139924960103,None
Kepler-26 c,377.1942958047673,15.680785139996342,28.853319369732677,50.28627629603574,None
Kepler-28 b,678.1024947998193,13.270195044325083,-8.754171918253567,35.11410909656515,None
Kepler-28 c,589.7350143260494,11.54344553827141,6.058220287796712,55.15501986496317,None
Kepler-289 b,574.0385441239465,7.111091257504535,-73.83387256666065,107.1306775265366,None
Kepler-289 d,459.91525763282215,14.963290394273283,29.71768198127979,81.13208838050505,None
Kepler-29 b,696.8433652009023,17.549699581716084,35.19520903588172,77.15361987727523,None
Kepler-29 c,640.9125797956983,16.1376206757808,-19.645311453567324,75.57403744898541,None
Kepler-305 c,728.4942179212592,64.40701276668833,15.432722045954002,48.571721260703484,None
Kepler-305 d,574.5888941913845,14.792532663502373,-38.6002901566393,125.06466215741177,None
Kepler-307 b,698.1311867235428,16.154020171648607,37.41170260667928,102.22320435219508,None
Kepler-307 c,647.0207600274839,14.96988662444292,28.529183188938397,73.52890321732332,None
